symbol,year,revenue,net_income,eps,roe,de,payout
1202,2025,1060527264.0,23410074.0,0.27,1.4378,0.4578,
1210,2021,,,,,,
1210,2022,674665582.0,40432242.0,1.47,6.5908,0.6133,0.2622
1210,2023,741107788.0,5518143.0,0.2,0.9316,0.5326,4.987
1210,2024,755578948.0,8505126.0,0.31,1.4152,0.5151,
1210,2025,729974364.0,17374953.0,0.63,2.9439,0.5795,1.5827
1211,2021,,,,,,
1211,2022,40277122289.0,9319047152.0,2.52,20.6772,0.9549,
1211,2023,29271927826.0,1577326494.0,0.43,3.3977,0.841,
1211,2024,32546157340.0,2871544808.0,0.78,5.5343,0.7237,
1211,2025,38577730228.0,7347878280.0,1.91,11.9297,0.5495,
1212,2021,,,,,,
1212,2022,2594148494.0,474316220.0,5.93,25.6472,0.2859,0.253
1212,2023,2819586562.0,475326552.0,5.94,22.3378,0.4565,0.4208
1212,2024,3062261277.0,589340930.0,7.37,23.3513,0.2043,0.3394
1212,2025,3070726717.0,666812348.0,8.34,22.5123,0.0786,0.3599
1213,2021,,,,,,
1213,2022,280181000.0,-1376000.0,-0.09,-1.3056,2.0915,
1213,2023,260517000.0,-15931000.0,-1.46,-17.6719,2.1494,
1213,2024,196755000.0,-42594000.0,-3.91,-88.8708,3.4779,
1213,2025,72021000.0,-34013000.0,-3.12,-226.6023,8.7759,
1214,2021,,,,,,
1214,2022,1037226000.0,32832000.0,0.4925,5.0186,0.8661,
1214,2023,1236237000.0,65427000.0,0.9833,9.1158,0.5763,
1214,2024,1415906000.0,81586000.0,1.225,10.2216,0.3628,
1214,2025,1394968000.0,81749000.0,1.2275,9.5966,0.5931,0.3395
1301,2021,,,,,,
1301,2022,1026362591.0,56675330.0,2.0125,12.6074,0.0093,0.898
1301,2023,792781846.0,20419420.0,0.63,5.4897,0.0094,1.3752
1301,2024,707286079.0,16232927.0,0.58,4.4165,0.0063,1.2974
1301,2025,770546967.0,5182654.0,0.18,1.4571,0.0112,2.709
1302,2021,,,,,,
1302,2022,3364258000.0,162850000.0,2.71,18.8595,0.7187,0.5895
1302,2023,3351813000.0,136040000.0,2.27,14.7881,0.4859,0.5734
1302,2024,3020204000.0,106032000.0,1.77,11.4162,0.9789,0.8206
1302,2025,4069650000.0,218299000.0,3.64,20.0267,1.2622,
1303,2021,,,,,,
1303,2022,1066088833.0,94170010.0,0.08,14.9296,0.7254,0.4779
1303,2023,1559350954.0,201033987.0,0.18,26.9917,0.5584,0.4197
1303,2024,1987068838.0,401730829.0,0.36,42.4635,0.0964,0.4893
1303,2025,2296241064.0,629929051.0,0.57,48.5306,0.0247,0.4446
1304,2021,,,,,,
1304,2022,1464976007.0,-26655991.0,-0.52,-4.1229,1.4231,
