symbol,year,close,ret,vol,maxdd,divs,div_yield,momentum,eps,price_date,return_basis,dividend_unit,source
4040,2025,9.59,-0.528978,0.26293,-0.55395,0.0,0.0,-0.532651,0.47,,,,
4040,2026,11.92,0.212614,0.424251,-0.213035,0.0,0.0,-0.107784,,,,,
4050,2015,16.458,0.080486,0.401521,-0.415313,0.0,0.0,-0.070105,,,,,
4050,2016,14.2715,-0.139432,0.45967,-0.510208,0.3857,2.3259,0.474413,,,,,
4050,2017,14.4688,-0.076998,0.26384,-0.2523,0.0,0.0,0.050138,,,,,
4050,2018,14.6245,0.021475,0.370929,-0.248897,0.4286,2.9934,0.17901,,,,,
4050,2019,26.1911,0.795159,0.303789,-0.155689,0.4286,2.9375,0.880005,,,,,
4050,2020,28.6212,0.09651,0.390258,-0.294194,1.2,4.5973,0.060381,,,,,
4050,2021,28.8709,0.030468,0.261252,-0.239656,0.4286,1.5297,0.003832,,,,,
4050,2022,31.7527,0.118028,0.407592,-0.294788,1.2429,4.3762,0.113525,1.0714,,,,
4050,2023,73.0961,1.274053,0.372578,-0.23916,0.4286,1.3333,1.119443,1.64,,,,
4050,2024,63.5,-0.148471,0.42993,-0.480098,1.0,1.341,-0.150712,0.63,,,,
4050,2025,55.5,-0.119048,0.340464,-0.363308,0.0,0.0,-0.239726,0.92,,,,
4050,2026,42.2,-0.249778,0.344997,-0.335106,0.0,0.0,-0.241689,,,,,
4051,2019,3.4999,-0.103557,0.452098,-0.176778,0.0,0.0,,,,,,
4051,2020,7.6695,1.201653,0.479494,-0.282851,0.16,4.5931,1.124446,,,,,
4051,2021,9.7377,0.32397,0.489252,-0.433333,0.175,2.3794,-0.117693,,,,,
4051,2022,5.0422,-0.484941,0.350679,-0.521041,0.245,2.5027,-0.489451,0.215,,,,
4051,2023,5.9354,0.142873,0.242326,-0.238591,0.18,3.4659,0.026827,2.14,,,,
4051,2024,6.0599,0.022558,0.296794,-0.25616,0.18,3.0373,0.000965,0.23,,,,
4051,2025,6.5019,0.066327,0.244166,-0.255162,0.18,2.952,0.032905,0.25,,,,
4051,2026,5.49,-0.148018,0.234822,-0.246715,0.18,2.7934,-0.099255,,,,,
4061,2015,19.7936,-0.221277,0.397994,-0.436747,,,-0.334545,,,,,
4061,2016,15.4581,-0.230597,0.509649,-0.502019,,,0.311162,,,,,
4061,2017,13.6104,-0.129683,0.333528,-0.411825,,,-0.134671,,,,,
4061,2018,13.0155,-0.017687,0.337156,-0.417772,,,0.110769,,,,,
4061,2019,11.4471,-0.095442,0.349444,-0.437677,,,-0.029052,,,,,
4061,2020,38.5501,2.367668,0.667581,-0.561144,,,2.409006,,,,,
4061,2021,34.2342,-0.092222,0.297293,-0.342806,,,-0.099228,,,,,
4061,2022,20.7,-0.392366,0.506153,-0.519797,,,-0.404094,-1.42,,,,
4061,2023,18.2,-0.141509,0.35853,-0.401739,,,-0.1787,0.38,,,,
4061,2024,26.4,0.434783,0.397792,-0.232558,,,0.189189,0.003,,,,
4061,2025,11.45,-0.566288,0.33488,-0.575,,,-0.545635,-0.636,,,,
4061,2026,12.25,0.059689,0.331353,-0.250199,,,-0.243827,,,,,
4070,2015,102.8067,-0.671515,0.418609,-0.764519,0.0,0.0,-0.670608,,,,,
4070,2016,116.912,0.129624,0.606915,-0.446185,0.0,0.0,0.827493,,,,,
4070,2017,82.3385,-0.219771,0.482592,-0.5,0.0,0.0,-0.08874,,,,,
4070,2018,76.8205,-0.079545,0.349671,-0.36629,0.0,0.0,0.0125,,,,,
4070,2019,61.7323,-0.182648,0.25599,-0.340314,0.0,0.0,-0.236674,,,,,
4070,2020,146.4725,1.330392,0.631292,-0.473934,0.0,0.0,1.12357,,,,,
4070,2021,60.9508,-0.571466,0.561905,-0.686492,0.0,0.0,-0.575684,,,,,
4070,2022,30.3543,-0.493944,0.441505,-0.6139,0.0,0.0,-0.48704,,,,,
4070,2023,29.2845,-0.052523,0.43747,-0.364293,0.0,0.0,-0.344882,-5.5772,,,,
4070,2024,26.7714,-0.089074,0.149364,-0.146425,0.0,0.0,-0.063492,-2.4607,,,,
4070,2025,16.3,-0.391141,0.341814,-0.486647,0.0,0.0,-0.45635,-0.42,,,,
4070,2026,21.07,0.294226,0.283386,-0.183673,0.0,0.0,-0.267408,-2.31,,,,
4080,2015,21.1866,-0.006325,0.350954,-0.351976,1.0,4.6901,-0.151741,,,,,
4080,2016,16.961,-0.201827,0.428704,-0.490859,1.0,4.7059,-0.029818,,,,,
4080,2017,12.98,-0.243149,0.238623,-0.389156,1.0,5.8309,-0.208251,,,,,
4080,2018,9.21,-0.280469,0.201739,-0.354103,0.0,0.0,-0.236318,,,,,
4080,2019,9.08,-0.03095,0.175625,-0.17449,0.0,0.0,-0.044211,,,,,
